"objNam","objNum","location","expectancy"
"microwave",1,4,"-53.45833"
"kitchenRoll",2,10,"-32.66667"
"saucepan",3,16,"-59.083333"
"toaster",4,15,"-41.416667"
"fruitBowl",5,6,"-58.291667"
"teaPot",6,11," -0.4166667"
"knife",7,9,"-12.083333"
"mixer",8,13,"-64.95833"
"bread",9,5,"-50.7083333"
"glassContainer",10,8," 59.708333"
"mug",11,1," 57.416667"
"dishes",12,14," 73.00000"
"towel",13,20," 18.50000000"
"toy",14,18," 15.000000"
"bookPile",15,12,"  8.708333"
"umbrella",16,19," 1.6250000"
"hat",17,7,"-28.708333"
"helmet",18,17,"20.291667"
"calendar",19,2," 25.3333333"
"fan",20,3," 39.958333"
